2024-04-30 00:19:59.4261|0|DEBUG|Program|init main |url: |action: 
2024-04-30 00:20:07.5791|0|DEBUG|Program|init main |url: |action: 
2024-04-30 00:20:09.2986|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5259 |url: |action: 
2024-04-30 00:20:09.2986|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-04-30 00:20:09.2986|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-04-30 00:20:09.2986|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Reaction |url: |action: 
2024-04-30 00:21:51.7588|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/reactionpost/all|action: 
2024-04-30 00:22:31.1314|0|INFO|Goods.System.Social.Network.Microservice.Reaction.Controllers.ReactionPostController|Вызван метод GetAllByPost |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:22:31.1346|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод GetAllByEntityAsync с параметрами: postId: 3, number: 0 |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:22:31.7613|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:22:32.1616|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. If the 'Distinct' operator is used after 'OrderBy', then make sure to use the 'OrderBy' operator after 'Distinct' as the ordering would otherwise get erased. |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:22:32.1616|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. If the 'Distinct' operator is used after 'OrderBy', then make sure to use the 'OrderBy' operator after 'Distinct' as the ordering would otherwise get erased. |url: http://localhost/reactionpost/all|action: GetAllByPost
2024-04-30 00:24:12.6981|0|INFO|Goods.System.Social.Network.Microservice.Reaction.Controllers.ReactionPostController|Вызван метод Create |url: http://localhost/reactionpost|action: Create
2024-04-30 00:24:12.7133|0|TRACE|Goods.System.Social.Network.DomainServices.Interface.ReactionPostService|Вызван метод CreateAsync с параметрами: reactionPostViewModel: DomainModel.Entities.ViewModels.ReactionEntityViewModel |url: http://localhost/reactionpost|action: Create
2024-04-30 00:24:12.7133|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод Create с параметрами: reaction: Goods.System.Social.Network.DomainModel.Entities.Reaction |url: http://localhost/reactionpost|action: Create
2024-04-30 00:24:12.8995|0|TRACE|Goods.System.Social.Network.DAL.Repository.Realization.ReactionRepository|Вызван метод GetAsync с параметрами: userId: 5, typeId: 1 |url: http://localhost/reactionpost|action: Create
