2024-05-24 17:25:27.2488|0|DEBUG|Program|init main |url: |action: 
2024-05-24 17:25:32.1587|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 17:25:32.1674|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 17:25:32.1674|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 17:25:32.1674|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 17:44:47.9628|0|DEBUG|Program|init main |url: |action: 
2024-05-24 17:44:49.4471|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 17:44:49.4471|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 17:44:49.4471|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 17:44:49.4471|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 17:46:24.3535|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat/negotiate|action: 
2024-05-24 17:54:17.5910|0|DEBUG|Program|init main |url: |action: 
2024-05-24 17:54:19.4319|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 17:54:19.4319|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 17:54:19.4319|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 17:54:19.4319|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 17:54:37.9109|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat/negotiate|action: 
2024-05-24 17:57:34.0559|0|DEBUG|Program|init main |url: |action: 
2024-05-24 17:57:35.7929|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 17:57:35.7972|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 17:57:35.7972|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 17:57:35.7972|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 17:58:17.9457|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat/negotiate|action: 
2024-05-24 18:01:30.0252|0|DEBUG|Program|init main |url: |action: 
2024-05-24 18:01:32.0758|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 18:01:32.0758|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 18:01:32.0758|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 18:01:32.0758|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 18:01:35.4935|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat|action: 
2024-05-24 18:03:43.7561|0|DEBUG|Program|init main |url: |action: 
2024-05-24 18:03:46.1803|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 18:03:46.1803|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 18:03:46.1803|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 18:03:46.1803|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 18:03:53.3027|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat|action: 
2024-05-24 18:04:38.1149|0|DEBUG|Program|init main |url: |action: 
2024-05-24 18:04:40.5925|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 18:04:40.5974|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 18:04:40.5974|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 18:04:40.5974|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-05-24 18:04:46.4643|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/chat|action: 
2024-05-24 18:08:18.9466|0|DEBUG|Program|init main |url: |action: 
2024-05-24 18:08:20.6636|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-05-24 18:08:20.6636|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-05-24 18:08:20.6636|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-05-24 18:08:20.6636|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
