2024-06-06 17:51:30.3182|0|DEBUG|Program|init main |url: |action: 
2024-06-06 17:51:32.7161|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-06-06 17:51:32.7161|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-06 17:51:32.7161|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-06 17:51:32.7161|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-06-06 18:01:49.1064|0|DEBUG|Program|init main |url: |action: 
2024-06-06 18:01:51.2978|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-06-06 18:01:51.3028|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-06 18:01:51.3028|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-06 18:01:51.3028|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-06-06 18:05:13.7340|0|DEBUG|Program|init main |url: |action: 
2024-06-06 18:05:15.6880|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-06-06 18:05:15.6939|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-06 18:05:15.6939|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-06 18:05:15.6939|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-06-06 18:08:36.9212|0|DEBUG|Program|init main |url: |action: 
2024-06-06 18:08:38.7537|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-06-06 18:08:38.7537|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-06 18:08:38.7537|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-06 18:08:38.7537|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\димон\Desktop\Я\РУСАЛ\SocialNet\SocialNetworkSystem\Goods.Social.Network\Goods.System.Social.Network.Microservice.Chats |url: |action: 
2024-06-06 18:13:47.7586|0|DEBUG|Program|init main |url: |action: 
2024-06-06 18:13:49.4701|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5289 |url: |action: 
2024-06-06 18:13:49.4751|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
